win,running,truecount,bet,dealcard,playhand,numhit,aceplay,acedeal,dealhandfinal,playerhandfinal,dealnumcard,dealbust,playbust,bjplay,bjdeal,split,ddown
0,-2,-2,-5,10,13,1,0,0,25,23,3,1,1,0,0,0,0
0,0,0,0,6,15,1,1,0,18,18,3,0,0,0,0,0,1
0,-2,-2,-5,10,18,0,0,0,19,18,2,0,0,0,0,0,0
0,-5,-5,-3,10,16,1,1,0,20,17,2,0,0,0,0,0,0
0,-1,-1,-1,4,15,0,0,0,19,15,4,0,0,0,0,0,0
1,-4,-4,4,9,20,0,0,0,19,20,2,0,0,0,0,0,0
0,-3,-3,-2,4,11,1,1,0,20,12,3,0,0,0,0,0,1
0,0,0,-2,6,15,0,0,0,20,15,4,0,0,0,0,0,0
1,-1,-1,5,11,20,0,0,1,18,20,4,0,0,0,0,0,0
0,-1,-1,0,2,18,0,0,0,18,18,3,0,0,0,0,0,0
1,1,0,8,4,10,1,0,0,24,13,3,1,0,0,0,0,1
0,5,2,-5,2,15,0,0,0,17,15,4,0,0,0,0,0,0
0,5,2,-7,10,14,1,0,0,20,17,2,0,0,0,0,0,0
1,6,3,7,5,12,0,0,0,22,12,3,1,0,0,0,0,0
1,3,1,8,7,20,0,0,0,17,20,2,0,0,0,0,0,0
0,5,2,0,11,16,2,0,1,18,21,2,0,1,0,0,1,0
0,5,2,-7,8,6,3,1,1,19,22,2,0,1,0,0,0,0
0,5,5,-7,10,13,1,0,0,20,18,2,0,0,0,0,0,0
0,6,6,-20,7,11,1,0,1,18,15,2,0,0,0,0,0,1
1,6,6,11,6,13,0,0,0,23,13,3,1,0,0,0,0,0
1,3,3,11,3,20,0,0,0,23,20,3,1,0,0,0,0,0
0,4,4,-8,10,17,3,1,0,20,18,2,0,0,0,0,0,0
1,1,1,10.8,10,21,0,1,0,18,21,2,0,0,1,0,0,0
0,1,1,-6,10,14,1,0,0,19,24,3,0,1,0,0,0,0
1,3,3,6,2,14,0,0,0,22,14,4,1,0,0,0,0,0
1,0,0,9.6,10,21,0,1,0,19,21,2,0,0,1,0,0,0
0,-2,-1,-5,7,16,1,0,0,17,26,2,0,1,0,0,0,0
0,-4,-2,0,9,19,0,1,0,19,19,2,0,0,0,0,0,0
0,-3,-2,0,10,14,2,1,0,18,18,3,0,0,0,0,0,0
0,-1,-1,-3,11,15,1,0,1,18,17,3,0,0,0,0,0,0
0,-2,-1,-4,10,9,1,0,0,20,17,2,0,0,0,0,0,0
1,-1,-1,4,4,15,0,0,0,24,15,4,1,0,0,0,0,0
0,-4,-2,-4,10,17,0,0,0,20,17,2,0,0,0,0,0,0
0,-1,-1,-3,10,14,2,0,1,19,22,4,0,1,0,0,0,0
0,-2,-1,-4,10,15,1,0,0,17,24,2,0,1,0,0,0,0
0,1,1,-4,10,9,1,0,0,19,18,3,0,0,0,0,0,0
0,0,0,-6,10,14,2,1,0,18,24,2,0,1,0,0,0,0
0,0,0,-5,10,17,0,0,0,18,17,3,0,0,0,0,0,0
0,1,1,0,9,9,1,0,0,19,19,3,0,0,0,0,0,0
0,-1,-1,-6,9,18,0,0,0,19,18,2,0,0,0,0,0,0
0,1,1,4,6,14,0,0,0,20,14,3,0,0,0,0,0,0
0,0,0,-6,10,15,1,0,0,20,18,2,0,0,0,0,0,0
0,-1,-1,-5,10,7,1,0,0,20,17,2,0,0,0,0,0,0
0,0,0,-4,4,12,0,0,1,20,12,4,0,0,0,0,0,0
0,-3,-2,-5,10,15,1,0,0,20,25,2,0,1,0,0,0,0
0,-4,-2,-3,21,9,1,0,1,21,18,2,0,0,0,1,0,0
1,-6,-3,3.6,11,21,0,1,1,15,21,2,0,0,1,0,0,0
0,-9,-5,-2,10,9,0,0,0,20,19,2,0,0,0,0,0,0
1,-9,-5,1,10,16,1,0,0,24,18,3,1,0,0,0,0,0
0,-3,-2,-1,6,14,0,0,0,21,14,5,0,0,0,0,0,0
0,-5,-3,-3,11,14,1,0,1,20,24,2,0,1,0,0,0,0
1,-4,-2,2,9,9,1,0,0,18,19,2,0,0,0,0,0,0
0,0,0,-3,5,13,0,0,0,21,13,4,0,0,0,0,0,0
0,1,1,-5,6,13,0,0,0,20,13,3,0,0,0,0,0,0
0,-1,-1,-6,8,17,0,0,1,19,17,2,0,0,0,0,0,0
0,-2,-2,-4,10,15,1,0,0,19,22,2,0,1,0,0,0,0
0,-2,-2,-3,3,15,0,0,1,17,15,4,0,0,0,0,0,0
1,-3,-3,3,3,18,0,0,1,17,18,4,0,0,0,0,0,0
1,-1,-1,4,4,10,1,0,1,25,18,5,1,0,0,0,0,1
1,4,4,8,6,9,1,0,0,18,19,5,0,0,0,0,0,1
0,3,3,0,10,10,1,0,0,20,20,2,0,0,0,0,0,0
1,0,0,8,10,20,0,0,0,18,20,2,0,0,0,0,0,0
1,0,0,5,10,9,1,0,0,26,18,3,1,0,0,0,0,0
1,-2,-1,5,10,18,0,0,0,25,18,3,1,0,0,0,0,0
1,-1,-1,8,5,11,1,0,0,23,20,3,1,0,0,0,0,1
0,-4,-2,-4,10,18,0,0,0,20,18,2,0,0,0,0,0,0
1,-2,-1,6,5,9,1,0,1,24,14,4,1,0,0,0,0,1
1,-2,-1,4,9,12,1,0,0,23,21,3,1,0,0,0,0,0
1,-3,-2,4.8,5,21,0,1,0,13,21,2,0,0,1,0,0,0
1,0,0,3,7,8,2,0,0,22,20,4,1,0,0,0,0,0
0,-1,-1,-5,10,14,1,0,0,24,24,3,1,1,0,0,0,0
1,-4,-2,4,10,20,0,0,0,17,20,2,0,0,0,0,0,0
0,-3,-3,-3,8,16,1,0,0,22,22,3,1,1,0,0,0,0
0,0,0,-2,7,13,2,0,1,21,24,4,0,1,0,0,0,0
1,-2,-2,5,10,14,1,0,0,20,21,2,0,0,0,0,0,0
0,0,0,-3,2,12,1,0,1,18,16,4,0,0,0,0,0,0
0,1,1,-5,3,16,0,0,1,20,16,3,0,0,0,0,0,0
1,-1,-1,6,10,19,0,0,0,26,19,3,1,0,0,0,0,0
0,-1,-1,-4,5,6,1,0,3,17,15,5,0,0,0,0,0,0
1,0,0,8,2,11,1,0,0,24,18,4,1,0,0,0,0,1
0,-3,-2,-5,10,19,0,0,0,20,19,2,0,0,0,0,0,0
0,-3,-2,-3,8,13,1,0,0,18,17,2,0,0,0,0,0,0
1,-3,-2,3,2,18,0,0,0,25,18,4,1,0,0,0,0,0
0,0,0,-3,2,15,0,0,0,17,15,3,0,0,0,0,0,0
1,-1,-1,5,9,19,0,0,0,17,19,2,0,0,0,0,0,0
1,1,0,4,2,15,1,1,0,25,15,5,1,0,0,0,0,0
0,2,1,-5,10,17,0,0,0,20,17,4,0,0,0,0,0,0
1,0,0,6,11,12,1,0,2,20,21,3,0,0,0,0,0,0
0,-2,-1,-5,10,16,1,0,0,17,26,2,0,1,0,0,0,0
0,-4,-4,-4,8,20,0,0,0,21,20,3,0,0,0,0,0,0
0,-1,-1,-1,10,15,1,0,0,21,18,4,0,0,0,0,0,0
1,-1,-1,4,6,20,0,0,0,18,20,3,0,0,0,0,0,0
1,-2,-2,4,6,15,0,0,0,26,15,3,1,0,0,0,0,0
1,-1,-1,3,3,14,1,1,0,18,21,3,0,0,0,0,0,0
